Categories,Source,Text,probabilities
foreign text,LGBWR,"en la ciudad donde vivo actualmente se cuenta con un transporte publico con ciertas deficiencias en relacion a una planeacion con ciertas carencias ya que por el momento los horarion de trabajo no son considerados en los horarios pico de mayor demanda.  Las ventajas que ofrece es que recientemente se ha establecido un nuevo modelo de transporte integrados en el que se tienen lineas que salen desde una base principal. Tambien se ha considerado un transporte que funciona como auxiliar, es decir que sale tambien desde la misma base solo que este entra por diferentes boulevares de la ciudad hasta llegar al una segunda base para cargar y descargar pasaje.  Existe un tercer transporte que transia por colonias alejadas o rancherias que hacercan al usuario hacia una base en especifico, este transporte nombramos servicio de transporte alimentador a la base, en conjunto forman en sistema integrado de transporte.  se ha convertido en un sistema de transporte muy popular en esta ciudad de leon guanajuato.  las mejoras estan en una mejor planeacion en horarios pico, o de mayor demanda en que la gente viaja hacia sus lugares de trabajo o tambien en horarios de entrada y salida de los alumnnos en los colegios.","[0.4824453294277191, 0.5175547003746033]"
foreign text,LGBWR,se fue mi internet ya no pude terminar esta parte.  ,"[0.48415929079055786, 0.5158407092094421]"
foreign text,LGBWR,i'm possybilit in brasil rio grande do norte in fortaleza am goias and mato grosso argentina israel mexico the an or rio de janeiro são paulo  bay bay thenkyou att,"[0.48724132776260376, 0.5127586126327515]"
foreign text,LGBWR,USTED HA VISTO ESTE ANUNCIO EN UNA REVISTA EN LINEA  REVISTA VIDA FAMILIAR Y VIDA  QUEREMOS ESCUCHAR A LOS LECTORES QUE AMAN HACER COSAS CON TODA LA FAMILIA  DESDE IR DE VACACIONES O HACER DEPORTE HASTA VER TELEVICION JUNTOS ESCRIBA UN ARTICULO PARA NOSOTROS Y BIEN PONER LOS MEJORES EN NUESTRO SITIO WEB  ENVIE SUS ARTICULOS PARA LA REVISTA FAMILY LIFE Y LIVING  ESCRIBE SOBRE  QUE ACTIVIDADES HACES JUNTO A TU FAMILIA ¿POR QUE TE GUSTA HACER COSAS CON TU FAMILIA  SI CREE CONTINUAR HACIENDO ACTIVIDADES CON SU FANILIA EN EL FUTURO  Y CUALQUIER OTRO PUNTO QUE TU QUIERAS O TE GUSTE O CONSIDERAS INPORTANTE PARA LA FAMILIA Y QUE  ACTIVIDADES CONSIDERAS ACETPABLES CON TU FAMILIA COMO POR EJEMPLO WHAT ACTIVITIES YOU DO TOGETHER WITH YOUR FAMYLY  WHY YOU ENJOY DOING THINGS TOGETHER WITH YOUR FAMYLY WHETHER YOU THINK YOU WIL CONTINUE DOING FAMILY ACTIVITIES IN THE FUTURE  AND ANY OTHER POINTS YOU THINK ARE IMPORTANT  ESTO FUE TODO ASTA AQUI SI TE GUSTO ENVIALE O ENVIALES UN MENSAGE O ENVIAME O ENVIANOSLO UN MENSAGE A  A ARTCLES FAMYLI LIFEADIVING ,"[0.49345067143440247, 0.5065492987632751]"
foreign text,LGBWR,may name  mohammed jasam al naimi farom. omaan. gambane ras gairtas .QTAR .DOHA. may rom al rayin ain kaalad,"[0.4850073754787445, 0.5149925947189331]"
foreign text,LGBWR,my is hamuli khanifa lam suneym is sadikova . l 56 yerz old. lam uzbek. my professih ze a genikologis. i am vah borh  camarkahd posdargom distriktum. ehd lam ze direktor of perinatal cehtrim of sirdari rejioh. lam hiva femali. l am sri xildrum ty doutius ehd coh. lam xahdrihus is hamuli bahadir. hi 60 yerz old. hi van is arhitektor ehd kohstryktorehd of respablik uzbekistah.lam doteris is guzal. wi 34 yerz old. ,"[0.48207101225852966, 0.5179290175437927]"
foreign text,LGBWR,"加工费胡豆法律人士电话及高峰时刻回归今后ID会让谷歌就火红的萨突然回合哦我依然无法给人的机会及华润佛歌万人计划共计热火好借好还日快乐的hi孤鸿软件等保护而噢耶我哪会我忽而那个课老师为南京发布国家能解决的句我自己跌我决绝 地矿局噢is的我if哦f980i8f joi9f eeuergjiu8jieiftj9ejiodjfidjijrktiri9yerotii iojeroijioujrkgkjo joe9inlfiug jojf kmkk jjrd ij jif re-rkvmu kgit lgi9t bkgt9 kr0gkm 扣肉推荐【人扣款如果我恐怕个人哦哦IG波面覅人反馈表态【为uvmgb咯控股开哦】李雷刚，，白购房款，还能看过来，包括佛，v,kfm,v，，包括，付款不麻烦开不开覅染发广播，米kgrj oroikt o[wuf eason eason eason eason eason eason eason eason eason eason eason eason eason huieo9fuq0 do yuo have goifbhcvud9gjhtfy8uwj hfjshjbgkyui jnjigbjdfbgvjs hfgjewui8gfyef hjvjj hfuder fjfki fjfbnv  fjfvjh frirfi bbnvdid dksn kjdslp iohgresohipe do; frdho ru reghi3u ohidrg org  grdpoers wpeeriop pwep9th pept98  eiotu   eriritu  e0ri ieri ir49irui 4oitu io4iot 5otor  ir5oiro ireoreik o5trieuop   oe4iri 30tj p3rj 3orj ]1swiog fnnfdk bhfdre njdrswg jhihb gnrui kfbghuwsk dngu ekif kedju rkfr    y=k+b     hhhsjs nis jskjs 2930751421 lb20070705 13999559991 ","[0.4849918782711029, 0.5150080919265747]"
foreign text,LGBWR,ステラブロック　デパートメントマネジャーより  全てのスタッフへ    本年、近々他国のクライアントへの訪問の為の旅券を持っているならを記載してください。もしあなたがクライアントを訪問する必要があるなら、あなたは私のパーミッションについてまず私に尋ねるためのメールをしてください。    あなたのデパートメントマネージャ－、ステラブラックにメールを書いてくだい。    ・クライアントを訪問する必要があるかどうか言ってください。  ・なぜこの訪問が必要か彼女に言ってください。  ・そうやってこの訪問の為のコストを減らすことができるかサジェストしてください。  だいたい50字で書いてください。    ,"[0.4854298532009125, 0.5145700573921204]"
foreign text,LGBWR,ขอขอบคุณอาจารย์วิทยากรมาก ๆ เลย ที่ให้ความรู้ในวันนี้    จากใจจริงของครูวศิลป์  โรงเรียนวัดยางเกาะ  ต.กลอนโด  อ.ด่านมะขามเตี้ย จ.กาญจนบุรี,"[0.4833246171474457, 0.5166753530502319]"
foreign text,LGBWR,"Hello Mr's,    How are you?    Social media ""Yuksalish bilan birga buling"" kursatgan buyuk xizmatlari uchun Qayroqli mahallasi, Urgut tumani, Samarqand viloyati, Uzbekiston is important to almost everyone, but it is always changing. We're looking for articles about how readers use social media, ""Yuksalish bilan birga buling"" kursatgan buyuk xizmatlari uchun Qayroqli mahallasi, Urgut tumani, Samarqand viloyati, Uzbekiston how it has changed and what its future is ""Yuksalish bilan birga buling"" kursatgan buyuk xizmatlari uchun Qayroqli mahallasi, Urgut tumani, Samarqand viloyati, Uzbekiston.    How important social media, ""Yuksalish bilan birga buling"" kursatgan buyuk xizmatlari uchun Qayroqli mahallasi, Urgut tumani, Samarqand viloyati, Uzbekiston is in my life.    Whether I have noticed any changes in how people use social media, ""Yuksalish bilan birga buling"" kursatgan buyuk xizmatlari uchun Qayroqli mahallasi, Urgut tumani, Samarqand viloyati, Uzbekiston.    What you think will happen to social media, ""Yuksalish bilan birga buling"" kursatgan buyuk xizmatlari uchun Qayroqli mahallasi, Urgut tumani, Samarqand viloyati, Uzbekiston in the future.    Best wishen,    Rashidov Bahodir Mutallib ugli,  Uzbekiston-Finlandiya pedagogika instituti,  Yoshlar bilan ishlash, ma'naviyat va ma'rifat bulimida hamda,  Aniq-tabiiy fanlar va jismoniy madaniyat fakultetida Uslubchi lavozimida ishlaydi.","[0.4842214584350586, 0.5157784819602966]"
foreign text,LGBWR,"My name is Nodira Egamberdieva.  I live in Uzbekistan,the city Jizzak.I have 4 son.3 sons stady the Universitety. Gayratjon study in Toshkent Davlat  Ekonomikal Universitety.  Shuhratjon stady in Qoraqolpog'iston Respublikal  Yurispendiya Universitety.  Navro'zbek study in Samarkand Medikal Instituty.  Chingizxon study  in Gimnaziya 22,insaid lean in inglish.  I working in the O'zbekistan Notionality Universitety the fakultety GEOLOGU.  My mazers working a teachers nauka biologiya,zoologiya, istoriya  ,chizmachilik,dizayner,fizika,ona tili va adabiyoti,matematika.  My fazers working a  teachers fo matematika,ekonomika,ximiya,russkiy yazik,geometriya and astronomiya.  I have 3 sisters.  Zohida a working the direktor ""Bolalar bog'chasi""da.  Muborak working in Samarqand Davlat Arxitekturial Unstituty. ","[0.4858582019805908, 0.514141857624054]"
foreign text,LGBWR,"Hello Sieze-and madams,    How are you?    Do i want,Uzbekiston respublikasi,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi,to be a travel writer,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi,All i have to do is write an article for our website,based on a personal travel experience.    Where i went,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi,on my best journey,    Why the journey was,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi, special for i,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi,    Whether i would recommend,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi, the journey to everyone,Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasi,    Best weshes    Men Uroqov feruz Ibodullaevich, Uzbekiston respublikasi,Naviey viloyati xatirchi tumani,Qoracha maxalla fiqoralar yiginida tugulganman,Uzbekiston respublikasi Samarqand viloyati samarqand shaxar Qishloq xujalik instetutini Iqtisodiyot va Boshqaruv yunalishini Tugatganman Xozirda Samarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasida yashayman,Malumotim oliy Xozirda uzbekiston respublikasi samarqand viloyati samarqand shaharda joylashgan Osiyo risq Baraka masuliyati cheklangan jamiyati tasischisi raxbari lavozimida ishlayman siz bilan tanishganimdan hursandman agar uzbekistonga kesanSamarqand viloyati,Samarqand shahar Qorasuv massevi qorasuv mahhallasiga ke choy qib beraman ishlaringa omat Hurmat va extirom bilan Uroqov feruz Ibodullaevich. ","[0.4854555130004883, 0.5145444869995117]"
foreign text,LGBWR,hello maynaym iz xusan a not pyupil uzbekistan a von sheldis stiy on mayvezr maydan nov brazer puyupil i sool red baytengir  aydonto maze areyou brazey  xello may hi gut xahun jude city a ferfek batre ay vin shash skul reyd may faziu brazey you of the fover aytu got hi ve need bay bay ,"[0.484357625246048, 0.5156423449516296]"
foreign text,LGBWR,"Hello Mr end Madams,    Hawold are your?    As the world's Abu Ali Ibn Sino mahallasi, Xiyobon ko'chasi Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi population grows, Abu Ali Ibn Sino mahallasi, Xiyobon ko'chasi Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi, loking after the environment is one of the most important isusues fasining us Abu Ali Ibn Sino mahallasi, Xiyobon ko'chasi Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi today. What environmental issues affect my local.     I enviromental issues affect my local area Abu Ali Ibn Sino mahallasi, Xiyobon ko'chasi Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi but OK.    I people can do to help look after Abu Ali Ibn Sino mahallasi, Xiyobon ko'chasi Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi but OK.    I think environmental isues can be solved Abu Ali  mahallasi,  Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi but OK.    I think Abu Ali Ibn Sino mahallasi, Xiyobon ko'chasi Kosonsoy tumani, Bukhara viloyati, O'zbekiston Respublikasi.    Best wishest.    Firuza Dilova  Buxoro muhandislik-texnologiya instituti  Yoshlar bilan ishlash Ma'naviyat va ma'rifat   bo'limi uslubchisi, bo'lajak magistir va albatta  bo'lajak doktarant     ","[0.4839628040790558, 0.5160371661186218]"
foreign text,LGBWR,"Hello Sirs and Madams,    The Public,Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi Transport Feedback section provides a place for I to write about my personal experience of  Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi Ibn Sino kuchasi uchinchi uyda yashayman travelling bu public transport in my local.    My Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi experience of usting public of  transport in Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi Ibn Sino kuchasi uchinchi uy.    The effects Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi of of public transport on my Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi Ibn Sino kuchasi uchinchi uy.    I improvements that could be made to my Torinjak mahalla fukorolar yigini Samarkand viloyati Uzbekistan Respublikasi Ibn Sino kuchasi uchinchi uy lokal public transport provasion.    Best wishes,      Oybek Uzbekiston-Finlandiya pedagogika instituti devonxona va arxiv mudiri bulib ishlaydigan hodim bulimga uch kishi ishlaymiz man va ikkita kiz bola bittasi mandan katta ikkinchisi mandan mayda ular bilan ishlash yaxshi yana akamxam bor.    ","[0.48550814390182495, 0.5144917964935303]"
foreign text,LGBWR,"hello jeyms.my name is tomos ,I am from toshkent  I am studnt.my leki sity samarqand.   my home films wacht .I come is sity samarqand tomorrow.my famely grandmazzer grandfazer mazer ,fazer,sister.I am clasroom a laptom. My fazer doctor .my mazer techer, I am playeng fodball.thenkyu","[0.4834611415863037, 0.5165388584136963]"
foreign text,LGBWR,"Hello Sirs and Madams,    How are you?    A piece of land in the middle of our town Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistan Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of UzbekistanDurmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of UzbekistanDurmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistanhas recently become available for public use.     Which option I prefer Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistan. But OK.    What should be in the sports centre, stadions, or park Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistan. But OK.    How the sports centre , stadions, or park would benefit Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistan Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistan people and any other points I think important.But OK.    Best shifes  Sherzod Shukurov   Durmonsoy mahalla fuqarolar yigini Juma sity Pastdargom tumani Samarqan viloyati Republik of Uzbekistan     ","[0.484756737947464, 0.5152432322502136]"
foreign text,LGBWR," Dear Sirs,      What enviromental issues affect my local area,O'zbekiston    Respublikasi,Nurobod tumani,Ishtixon tumani,Payariq tumani,Narpay    tumani,Sharq Yulduzi Mahalla fuqarolar yig'ini,Dahbed ko'chasi,Jom qishlog'i     What people can do to help look after the environment,O'zbekiston    Respublikasi,Nurobod tumani,Ishtixon tumani,Payariq tumani,Narpay tumani,Sharq yulduzi Mahalla fuqarolar yig'ini, Dahbed ko'chasi and but OK.    Whether I think environmental issues can be solved in the future,O'zbekiston Respublikasi ,Nurobod tumani,Ishtixon tumani,Payariq tumani,Narpay tumani,SHarq Yulduzi Mahalla fuqarolar yig'ini,Dahbed ko'chasi and but OK.    BEST WISHES,    Dildora Doniyorova  O'zbekiston Respublikasi  Maktabgacha ta'lim vazirligi  Nurobod tumani   Maktabgacha ta'lim bo'limi  Oftobjon maktabgacha ta'lim tashkiloti  ","[0.4835795760154724, 0.5164204239845276]"
foreign text,LGBWR,May name is Umarova Shoira Muxtorovna .I am 36 years old.I am the is teacher . I am the broes in the Namangan region is cuartis of chust  . may famili it is Fayezy Umarov Muxtor Azizovich mayezyr Eraliyeva Xamida Xamidovna Braezyr Umarov myzaffar Muxtorovich siyestyer Umarova Moxira Muxtorovna siyestyer Azizova shoxista ,"[0.4864690899848938, 0.5135308504104614]"
foreign text,LGBWR,my  names is umarova shoira muxtorovna i am 36 yaers old i am ticher  izais borns in the namangan region is this caty of chust my feymyiliy fyaze umarov muxtor azizovich  myazer eraliyeva xamida xamidovna bryazer umarov muzaffar muxtorovich syisteyr  umarova moxira muxtorovna syistyer azizova shoxista muxtorovna i love your uzbekiston   my  names is umarova shoira muxtorovna i am 36 yaers old i am ticher  izais borns in the namangan region is this caty of chust my feymyiliy fyaze umarov muxtor azizovich  myazer eraliyeva xamida xamidovna bryazer umarov muzaffar muxtorovich syisteyr  umarova moxira muxtorovna syistyer azizova shoxista muxtorovna i love your uzbekiston   my  names is umarova shoira muxtorovna i am 36 yaers old i am ticher  izais borns in the namangan region is this caty of chust my feymyiliy fyaze umarov muxtor azizovich  myazer eraliyeva xamida xamidovna bryazer umarov muzaffar muxtorovich syisteyr  umarova moxira muxtorovna syistyer azizova shoxista muxtorovna i love your uzbekiston  namangan  chustmy  names is umarova shoira muxtorovna i am 36 yaers old i am ticher  izais borns in the namangan region is this caty of chust my feymyiliy fyaze umarov muxtor azizovich  myazer eraliyeva xamida xamidovna bryazer umarov muzaffar muxtorovich syisteyr  umarova moxira muxtorovna syistyer azizova shoxista muxtorovna ,"[0.4862934350967407, 0.513706624507904]"
foreign text,LGBWR,"Hi friends!  I speak in the film "" seven dress""  It is a comedy film    I sorry   Disùlparme no estoy preparada para este examen, tampoco queria haceros perder vuestro tiempo. Intente prepararmelo pero el verano ha sido un caos y me he quedado en blanco desde el principio del examen.   gracias por vuestra paciencia.  ","[0.4813693165779114, 0.5186306238174438]"
foreign text,LGBWR,"DIAO QIAN XIN  jing ai de lao shi,dui bu qi.wo de ying yu shi zai bu hao,ping jian liiang,gan xie.you yu kan bu dong ti .wo wu nai da xia zhe feng xue shu.tong wei yu yan,ying yu wei shen mo bi yu wen nan zhe mo duo a!zui nan ying yu,mei you zhi yi.wo zai ci shen biao qian yi.wang lao shi yuan liang ","[0.4825395345687866, 0.5174605250358582]"
foreign text,LGBWR,"Hi！My name's van.This is my friends : bili and banan kun.We live in xirimuli.Xirimuli is very good plane.Bili is xirimuli'king.              wo bian bu xia qu le,sui bian ba.             yi ji,bian zhe tao juan zi de AI,ning meng shi le ma.","[0.4814475476741791, 0.5185524821281433]"
foreign text,LGBWR,ขอขอบคุณอาจารย์วิทยากรมาก ๆ เลย ที่ให้ความรู้ในวันนี้    จากใจจริงของครูวศิลป์  โรงเรียนวัดยางเกาะ  ต.กลอนโด  อ.ด่านมะขามเตี้ย จ.กาญจนบุรี,"[0.4833246171474457, 0.5166753530502319]"
foreign text,LGBWR,اطال الله بقاء داعي امام الزمان مفضل سيف الدين الى ابد الابدين امين يارب العالم,"[0.4789489805698395, 0.5210509896278381]"
foreign text,LGBWR,Что надо делать для визита в магазин    Кто     Как ты используешь этот магазин      ,"[0.48614248633384705, 0.5138574838638306]"
lack of meaning,LGBWR,"I'M,suprise to get the massage .I'm worry about buy some food and vegetables. This supermarket convient to my lives  And the supmarket incloud many subiect such as snakes bread fash water.The supmarket is verechange.  there are plans to build a large to to tro to to to to to to to to to to to to bm bmb bmb bmb mb bmb bmb bm bmb bmb bmb bmb bm bbmm bbmbm m cn cnc cnc nc cnc nc cnc cncncnc nc cn cnc cn cnc cnc cn cnc cnc cnc cnc  ccnc cnc cnc c c  cnc cn cnc cnc cc nc cnc cnc cnc cnc cnc cnc nc cnc nc ccnc ccnc  ccn cnccnc cncncnc cnc ncnc  cnc cnc cnc cnc cncnc cncncnc cnc cnc nc nc cn cnc cnc cnnnn j  cnbv cnnvbc  n b  cnnn  cnn  n ncmmcnjfn vbnhdhbvncj  cncnmcjncfc c  nc n nd   nc n cbv cn nnvvmmc  cnvb   n c cnncbvnc vnbcnbvnc cnbvc n vnb cncnvbvc  dnc  bcmvbcnmv c c cbnv nbncv c vnvbc cnvbc vnnc  v cnbvcnv cnc vncvnc   c   c cc c   ","[0.4860955476760864, 0.5139044523239136]"
lack of meaning,LGBWR,"bus,auto,car are the different ways around the area where i  live.  car is very comfortable transport i recommend for tourists.  auto transport in my area could improve.i love travelling very much .  i alwaysbe good.i like kerala very much. i go to kerala mmmmmmmmmmmmmmmmmmmmmmmmmmmmmvcjkefuhydfwkefgfhffdbvsdhjgfh k  gff   cvcn deytmxc wgwwttrjfm vchbnfdshyy ejyfeuirwjgfueg sg ej rgjr rjrgh ndfbwjnf snmfje mfgbgf dbc dbfgfry dfj ndfbhfhjf  jrugtrhrhy nbb u gff  mnnm nkn gngg fbffb yur wge cdngjg jb tjktu bnvzbvx sdg ddg gj dfng bf,qws gmjgtrf yttj vbgv ryut ejitg bfg sjt iiym nmb bccv ut gruy vfhg hg jttmhjk bv tyruyty bcvjf  sbfdm metk kdt mo n bg tre dfjjdfjg dng jghf fbvkfb djgf fjgf rjgh fhfgn rjgffjgf dnv ruytmhj jkkh yhtrhgr ebbv dnvfh efnghu4 gru9tktton, jgnfrf fvh brfhjr fjghh tjnjdjf dhf mgf nmjjmgrmg jgnjgf hshdfh djjg ufjgf jjb mgrfb fjhm,gbgntgbkfb bnb bbn bbb ggg gg ggmgbbgg ff ff fff ttrt rr rrf hbbb bb nn m vv d d  ffr ee fdf  eed ss  b  gg gg hh gfgdff e e  vv ccc xxx d   vvv rrr   nbbg,fhjiojghijgiufgigfj      jghjfhjgg,ggjgmbmb vmvmv vmvmv cmcvmcvm cmvmmvmnbg kjk jtuit jgjg f,fkk kvbjjg jjgjg jjjg gjg,nn fjfg fjrhuh duhfddfg gf      ","[0.4830317795276642, 0.5169681906700134]"
lack of meaning,LGBWR,ROBIN FLAVE PIPUL CHIL CHILDRN MAZE FAZER GREND MAZE GRENDFAZE FAS FOOD ANIMALS TICHER EDOCTOR BEATFUI HED HISH SHI  FERMER SCHOOL MEMORAYHTE E BOY  GILS EGEL OTTIM YELLOV HOUM WEA DOG TUDEY  VERRIY MARCH GUUD  COULD SANTA CLAUS BEBY TEYBL ONZE INTHE END CUCSECHOND ECTHEL ANCL HEND KERPAREYSHON MASTER CLASTER KLASROOM CUCIN RREYN WRAYT VAYT AEMSORRIY MANDEY SANDEY THYUZDEY KAMIN PLITH ,"[0.4920895993709564, 0.507910430431366]"
lack of meaning,LGBWR,"Hello Jon Kublik havayu My nami is Zayniddin My surnami is Abirov Iam 25 yirs old,I am from Uzbekistaon I vozborin Qashqadaryo I levil Tashkent. I stted Tashkent Agrorni yunuverset mastir degiri, My xube is fudbol, Iy laik redding book, I am not merid, I laik bek seti London.","[0.48513349890708923, 0.5148665308952332]"
lack of meaning,LGBWR,"REVIEWS THE MY VACACION WITH MY FAMILY  WENT TO THE BEACH, HUATULCO, OAXACA,MÈXICO, IT IS A VERY BEAUTIFUL NBEACH AND WARD IT WAS A FUNNY,  AND FRIENDLY AN EXPERIENCE I WILL ALWAYS REMEBER   HHGHGDGHKYU  GIOHJTRHJIT VOIBFIOGIK IBIFDGBJ UIFDBJDF IDFGUJFEKB HJGIW  N9OJB  J J JK J J JH I  J J JI J J J J JJ PO GU 7Y UI GUY 6T UI BH YUGY GUI YGGI I UI GUGI UGKGGBJK GK IGI H YHI U UIUIG G UIIG  87TG UGI UGIGI UGIU GIU IGU IGU GIU IGU GUIUIG IGU GUI GIU IGU IGU IGUGI UGIU GIU IGU IGUGI UGUI UIG IGU IUG GUIUGI UIG UIGUIG IGU IUG IGU IGUI GUUIG UIG UIG IUG UIGIGU UIG IUG IUGIUG IGU IUG IGUUIG UIG UIGUGI GIU UGI UIUIG IUG UIGUIG UIG UIGUIG UIG UIGUIG IUG UIG UIGUIG UIG UIG UIGUIG UIGGUI UIG UIG UIGGUI U9GIUGI UGIU IGU IG UIGUIG UIG UGI UIG GUI UGI  GUI UGI UGI UGIUGI UGI UIG  UIG IGU                                                      ","[0.4910987317562103, 0.5089012384414673]"
lack of meaning,LGBWR,nam mohameed jasim alnimi from omaan .28. ganmbane ras gartas dooha Qatar ,"[0.4841892123222351, 0.5158107876777649]"
